checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit
0 - 200 DM,24,current loans paid,furniture/equipment,4351,unknown/none,1 - 4 years,1,female-divorced/separated/married,none,4,building society savings/life insurance,48,none,own,1,unskilled-resident,1,yes,yes,0
none,12,critical account - other non-bank loans,furniture/equipment,1402,500 - 1000 DM,4 - 7 years,3,female-divorced/separated/married,none,4,car or other,37,none,rent,1,skilled,1,yes,yes,0
< 0 DM,24,current loans paid,car,1381,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,2,building society savings/life insurance,35,none,own,1,skilled,1,none,yes,1
0 - 200 DM,18,current loans paid,furniture/equipment,3001,< 100 DM,4 - 7 years,2,female-divorced/separated/married,none,4,real estate,40,none,rent,1,skilled,1,none,yes,0
none,12,current loans paid,car,4675,unknown/none,< 1 year,1,female-divorced/separated/married,none,4,car or other,20,none,rent,1,skilled,1,none,yes,0
< 0 DM,12,current loans paid,furniture/equipment,7865,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,53,none,for free,1,highly skilled,1,yes,yes,1
< 0 DM,21,current loans paid,radio/television,2606,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,28,none,rent,1,highly skilled,1,yes,yes,0
0 - 200 DM,8,current loans paid,radio/television,760,< 100 DM,4 - 7 years,4,female-divorced/separated/married,guarantor,2,real estate,44,none,own,1,unskilled-resident,1,none,yes,0
none,12,critical account - other non-bank loans,business,1412,< 100 DM,1 - 4 years,4,female-divorced/separated/married,guarantor,2,real estate,29,none,own,2,highly skilled,1,yes,yes,0
0 - 200 DM,36,current loans paid,car,6948,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,35,none,rent,1,highly skilled,1,yes,yes,0
> 200 DM or salary assignment,24,critical account - other non-bank loans,radio/television,3148,unknown/none,1 - 4 years,3,male-single,none,2,car or other,31,none,own,2,skilled,1,yes,yes,0
< 0 DM,30,critical account - other non-bank loans,car,6187,100 - 500 DM,4 - 7 years,1,male-married/widowed,none,4,car or other,24,none,rent,2,skilled,1,none,yes,0
0 - 200 DM,36,current loans paid,car,12389,unknown/none,1 - 4 years,1,male-single,none,4,unknown-none,37,none,for free,1,skilled,1,yes,yes,1
> 200 DM or salary assignment,4,current loans paid,car,1494,unknown/none,< 1 year,1,male-single,none,2,real estate,29,none,own,1,unskilled-resident,2,none,no,0
< 0 DM,12,current loans paid,furniture/equipment,3590,< 100 DM,1 - 4 years,2,male-single,co-applicant,2,building society savings/life insurance,29,none,own,1,unskilled-resident,2,none,yes,0
0 - 200 DM,30,no credit - paid,business,4280,100 - 500 DM,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,26,none,rent,2,unskilled-resident,1,none,yes,1
none,9,current loans paid,repairs,1236,< 100 DM,< 1 year,1,female-divorced/separated/married,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,0
< 0 DM,18,current loans paid,furniture/equipment,2462,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,22,none,own,1,skilled,1,none,yes,1
0 - 200 DM,18,current loans paid,business,4439,< 100 DM,>= 7 years,1,male-single,co-applicant,1,real estate,33,bank,own,1,highly skilled,1,yes,yes,0
< 0 DM,12,current loans paid,furniture/equipment,1289,< 100 DM,1 - 4 years,4,male-single,guarantor,1,building society savings/life insurance,21,none,own,1,unskilled-resident,1,none,yes,0
< 0 DM,36,critical account - other non-bank loans,education,8065,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,unknown-none,25,none,own,2,highly skilled,1,yes,yes,1
none,48,critical account - other non-bank loans,car,11590,100 - 500 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled-resident,1,none,yes,1
< 0 DM,18,all loans at bank paid,furniture/equipment,1553,< 100 DM,1 - 4 years,4,male-single,none,3,car or other,44,bank,own,1,skilled,1,none,yes,1
< 0 DM,12,current loans paid,radio/television,727,100 - 500 DM,< 1 year,4,male-married/widowed,none,3,unknown-none,33,none,own,1,unskilled-resident,1,yes,yes,1
< 0 DM,12,current loans paid,car,3651,>= 1000 DM,1 - 4 years,1,male-single,none,3,building society savings/life insurance,31,none,own,1,skilled,2,none,yes,0
0 - 200 DM,36,past payment delays,car,2862,100 - 500 DM,>= 7 years,4,male-single,none,3,unknown-none,30,none,for free,1,skilled,1,none,yes,0
< 0 DM,6,critical account - other non-bank loans,furniture/equipment,3384,< 100 DM,1 - 4 years,1,male-divorced/separated,none,4,real estate,44,none,rent,1,highly skilled,1,yes,yes,1
none,20,critical account - other non-bank loans,car,3485,unknown/none,< 1 year,2,male-divorced/separated,none,4,real estate,44,none,own,2,skilled,1,yes,yes,0
< 0 DM,36,all loans at bank paid,furniture/equipment,2746,< 100 DM,>= 7 years,4,male-single,none,4,car or other,31,bank,own,1,skilled,1,none,yes,1
0 - 200 DM,9,critical account - other non-bank loans,education,1136,>= 1000 DM,>= 7 years,4,male-single,none,3,unknown-none,32,none,for free,2,skilled,2,none,yes,1
none,6,critical account - other non-bank loans,radio/television,1898,unknown/none,1 - 4 years,1,male-single,none,2,real estate,34,none,own,2,unskilled-resident,2,none,yes,0
> 200 DM or salary assignment,18,current loans paid,furniture/equipment,3049,< 100 DM,< 1 year,1,female-divorced/separated/married,none,1,building society savings/life insurance,45,stores,own,1,unskilled-resident,1,none,yes,0
none,22,current loans paid,radio/television,2675,500 - 1000 DM,>= 7 years,3,male-single,none,4,car or other,40,none,own,1,skilled,1,none,yes,0
none,30,past payment delays,business,4272,100 - 500 DM,1 - 4 years,2,male-single,none,2,building society savings/life insurance,26,none,own,2,unskilled-resident,1,none,yes,0
0 - 200 DM,45,current loans paid,radio/television,3031,100 - 500 DM,1 - 4 years,4,male-single,guarantor,4,building society savings/life insurance,21,none,rent,1,skilled,1,none,yes,1
< 0 DM,30,no credit - paid,furniture/equipment,4583,< 100 DM,1 - 4 years,2,male-divorced/separated,guarantor,2,real estate,32,none,own,2,skilled,1,none,yes,0
none,6,current loans paid,furniture/equipment,2978,500 - 1000 DM,1 - 4 years,1,male-single,none,2,car or other,32,none,own,1,skilled,1,yes,yes,0
< 0 DM,24,all loans at bank paid,other,1358,unknown/none,>= 7 years,4,male-single,none,3,car or other,40,stores,own,1,highly skilled,1,yes,yes,1
none,9,current loans paid,business,1449,< 100 DM,4 - 7 years,3,female-divorced/separated/married,none,2,car or other,27,none,own,2,skilled,1,none,yes,0
none,12,critical account - other non-bank loans,radio/television,976,unknown/none,>= 7 years,4,male-single,none,4,car or other,35,none,own,2,skilled,1,none,yes,0
none,24,current loans paid,radio/television,1311,100 - 500 DM,4 - 7 years,4,male-married/widowed,none,3,building society savings/life insurance,26,none,own,1,skilled,1,yes,yes,0
< 0 DM,15,no credit - paid,car,950,< 100 DM,>= 7 years,4,male-single,none,3,car or other,33,none,rent,2,skilled,2,none,yes,1
none,24,past payment delays,business,2375,500 - 1000 DM,1 - 4 years,4,male-single,none,2,car or other,44,none,own,2,skilled,2,yes,yes,0
none,36,past payment delays,business,9572,< 100 DM,< 1 year,1,male-divorced/separated,none,1,car or other,28,none,own,2,skilled,1,none,yes,1
none,18,critical account - other non-bank loans,radio/television,1800,< 100 DM,1 - 4 years,4,male-single,none,2,car or other,24,none,own,2,skilled,1,none,yes,0
0 - 200 DM,20,current loans paid,car,6468,unknown/none,unemployed,1,male-divorced/separated,none,4,real estate,60,none,own,1,highly skilled,1,yes,yes,0
> 200 DM or salary assignment,10,current loans paid,car,1240,100 - 500 DM,>= 7 years,1,female-divorced/separated/married,none,4,unknown-none,48,none,for free,1,unskilled-resident,2,none,yes,1
0 - 200 DM,30,current loans paid,radio/television,1715,unknown/none,1 - 4 years,4,female-divorced/separated/married,none,1,car or other,26,none,own,1,skilled,1,none,yes,0
0 - 200 DM,24,critical account - other non-bank loans,business,1935,< 100 DM,>= 7 years,4,male-divorced/separated,none,4,real estate,31,none,own,2,skilled,1,yes,yes,1
0 - 200 DM,18,current loans paid,radio/television,3213,500 - 1000 DM,< 1 year,1,male-married/widowed,none,3,real estate,25,none,rent,1,skilled,1,none,yes,0
< 0 DM,36,current loans paid,furniture/equipment,2712,< 100 DM,>= 7 years,2,male-single,none,2,building society savings/life insurance,41,bank,own,1,skilled,2,none,yes,1
none,36,current loans paid,radio/television,3595,< 100 DM,>= 7 years,4,male-single,none,2,car or other,28,none,own,1,skilled,1,none,yes,0
0 - 200 DM,48,all loans at bank paid,business,3566,100 - 500 DM,4 - 7 years,4,male-single,none,2,car or other,30,none,own,1,skilled,1,none,yes,0
< 0 DM,24,past payment delays,car,1333,< 100 DM,unemployed,4,male-single,none,2,real estate,43,none,for free,2,skilled,2,none,yes,1
< 0 DM,18,current loans paid,education,750,< 100 DM,unemployed,4,female-divorced/separated/married,none,1,real estate,27,none,own,1,unemployed-unskilled-non-resident,1,none,yes,1
none,24,current loans paid,car,7393,< 100 DM,1 - 4 years,1,male-single,none,4,building society savings/life insurance,43,none,own,1,unskilled-resident,2,none,yes,0
< 0 DM,12,current loans paid,radio/television,1498,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,1,car or other,23,bank,own,1,skilled,1,none,yes,0
< 0 DM,24,all loans at bank paid,furniture/equipment,2828,500 - 1000 DM,1 - 4 years,4,male-single,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,0
< 0 DM,9,current loans paid,furniture/equipment,2136,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,25,none,own,1,skilled,1,none,yes,0
none,12,critical account - other non-bank loans,education,2748,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,4,unknown-none,57,bank,for free,3,unskilled-resident,1,none,yes,0
0 - 200 DM,42,all loans at bank paid,car,9283,< 100 DM,unemployed,1,male-single,none,2,unknown-none,55,bank,for free,1,highly skilled,1,yes,yes,0
0 - 200 DM,48,critical account - other non-bank loans,furniture/equipment,5096,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,3,car or other,30,none,own,1,highly skilled,1,yes,yes,1
0 - 200 DM,9,current loans paid,radio/television,2118,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,37,none,own,1,unskilled-resident,2,none,yes,0
0 - 200 DM,18,current loans paid,car,6260,< 100 DM,4 - 7 years,3,male-single,none,3,real estate,28,none,rent,1,unskilled-resident,1,none,yes,0
none,24,critical account - other non-bank loans,car,2346,< 100 DM,4 - 7 years,4,male-single,none,3,car or other,35,none,own,2,skilled,1,yes,yes,0
< 0 DM,15,critical account - other non-bank loans,furniture/equipment,1433,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,3,building society savings/life insurance,25,none,rent,2,skilled,1,none,yes,0
none,21,past payment delays,furniture/equipment,1591,100 - 500 DM,4 - 7 years,4,male-single,none,3,real estate,34,none,own,2,highly skilled,1,none,yes,0
none,36,current loans paid,education,9055,unknown/none,1 - 4 years,2,male-single,none,4,unknown-none,35,none,for free,1,unskilled-resident,2,yes,yes,0
none,12,current loans paid,radio/television,1493,< 100 DM,< 1 year,4,female-divorced/separated/married,none,3,car or other,34,none,own,1,skilled,2,none,yes,0
> 200 DM or salary assignment,42,no credit - paid,business,6289,< 100 DM,< 1 year,2,male-divorced/separated,none,1,building society savings/life insurance,33,none,own,2,skilled,1,none,yes,0
none,9,critical account - other non-bank loans,car,1224,< 100 DM,1 - 4 years,3,male-single,none,1,real estate,30,none,own,2,skilled,1,none,yes,0
0 - 200 DM,12,current loans paid,radio/television,1158,500 - 1000 DM,1 - 4 years,3,male-divorced/separated,none,1,car or other,26,none,own,1,skilled,1,yes,yes,0
none,15,current loans paid,furniture/equipment,2708,< 100 DM,< 1 year,2,male-single,none,3,building society savings/life insurance,27,bank,own,2,unskilled-resident,1,none,yes,0
0 - 200 DM,60,current loans paid,education,6288,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,42,none,for free,1,skilled,1,none,yes,1
< 0 DM,48,current loans paid,car,3931,< 100 DM,4 - 7 years,4,male-single,none,4,unknown-none,46,none,for free,1,skilled,2,none,yes,1
none,12,current loans paid,car,2390,unknown/none,>= 7 years,4,male-single,none,3,car or other,50,none,own,1,skilled,1,yes,yes,0
< 0 DM,36,current loans paid,car,9271,< 100 DM,4 - 7 years,2,male-single,none,1,car or other,24,none,own,1,skilled,1,yes,yes,1
0 - 200 DM,12,current loans paid,radio/television,1331,< 100 DM,< 1 year,2,male-single,none,1,car or other,22,stores,own,1,skilled,1,none,yes,1
0 - 200 DM,11,critical account - other non-bank loans,car,1322,>= 1000 DM,1 - 4 years,4,female-divorced/separated/married,none,4,car or other,40,none,own,2,skilled,1,none,yes,0
none,18,past payment delays,business,2169,< 100 DM,1 - 4 years,4,male-married/widowed,none,2,car or other,28,none,own,1,skilled,1,yes,yes,1
none,36,current loans paid,business,7409,unknown/none,>= 7 years,3,male-single,none,2,building society savings/life insurance,37,none,own,2,skilled,1,none,yes,0
none,6,critical account - other non-bank loans,furniture/equipment,1221,unknown/none,1 - 4 years,1,male-married/widowed,none,2,building society savings/life insurance,27,none,own,2,skilled,1,none,yes,0
none,30,current loans paid,radio/television,1867,unknown/none,>= 7 years,4,male-single,none,4,car or other,58,none,own,1,skilled,1,yes,yes,0
none,12,critical account - other non-bank loans,business,1185,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,27,none,own,2,skilled,1,none,yes,0
none,21,critical account - other non-bank loans,car,12680,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,30,none,for free,1,highly skilled,1,yes,yes,1
none,24,critical account - other non-bank loans,car,6842,unknown/none,1 - 4 years,2,male-single,none,4,building society savings/life insurance,46,none,own,2,highly skilled,2,yes,yes,0
none,11,critical account - other non-bank loans,car,7228,< 100 DM,1 - 4 years,1,male-single,none,4,building society savings/life insurance,39,none,own,2,unskilled-resident,1,none,yes,0
none,18,past payment delays,furniture/equipment,1808,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,1,real estate,22,none,own,1,skilled,1,none,yes,1
0 - 200 DM,12,current loans paid,car,685,< 100 DM,4 - 7 years,2,male-married/widowed,none,3,car or other,25,bank,own,1,unskilled-resident,1,none,yes,1
none,12,current loans paid,education,719,< 100 DM,>= 7 years,4,male-single,none,4,car or other,41,bank,own,1,unskilled-resident,2,none,yes,1
0 - 200 DM,48,current loans paid,other,5381,unknown/none,unemployed,3,male-single,none,4,unknown-none,40,bank,for free,1,unemployed-unskilled-non-resident,1,yes,yes,0
none,10,current loans paid,car,1597,500 - 1000 DM,1 - 4 years,3,male-single,none,2,unknown-none,40,none,rent,1,unskilled-resident,2,none,no,0
0 - 200 DM,48,current loans paid,radio/television,3979,unknown/none,4 - 7 years,4,male-single,none,1,car or other,41,none,own,2,skilled,2,yes,yes,0
none,48,past payment delays,radio/television,12749,500 - 1000 DM,4 - 7 years,4,male-single,none,1,car or other,37,none,own,1,highly skilled,1,yes,yes,0
0 - 200 DM,9,critical account - other non-bank loans,furniture/equipment,1919,< 100 DM,4 - 7 years,4,male-single,none,3,car or other,35,none,rent,1,skilled,1,yes,yes,0
< 0 DM,48,current loans paid,car,7763,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,42,bank,for free,1,highly skilled,1,none,yes,1
none,15,critical account - other non-bank loans,radio/television,1829,< 100 DM,>= 7 years,4,male-single,none,4,car or other,46,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,30,no credit - paid,business,4221,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,1,car or other,28,none,own,2,skilled,1,none,yes,0
0 - 200 DM,45,critical account - other non-bank loans,radio/television,4746,< 100 DM,< 1 year,4,male-single,none,2,building society savings/life insurance,25,none,own,2,unskilled-resident,1,none,yes,1
< 0 DM,12,current loans paid,furniture/equipment,652,< 100 DM,>= 7 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,24,none,rent,1,skilled,1,none,yes,0
none,10,current loans paid,car,2848,100 - 500 DM,1 - 4 years,1,male-single,co-applicant,2,real estate,32,none,own,1,skilled,2,none,yes,0
none,6,past payment delays,radio/television,932,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,24,none,own,1,skilled,1,none,yes,0
none,24,current loans paid,car,6313,unknown/none,>= 7 years,3,male-single,none,4,car or other,41,none,own,1,highly skilled,2,yes,yes,0
none,12,current loans paid,radio/television,1262,< 100 DM,1 - 4 years,3,male-single,none,2,car or other,25,none,own,1,skilled,1,none,yes,0
0 - 200 DM,24,current loans paid,car,2760,unknown/none,>= 7 years,4,male-single,none,4,unknown-none,36,bank,for free,1,skilled,1,yes,yes,0
none,36,current loans paid,furniture/equipment,10974,< 100 DM,unemployed,4,female-divorced/separated/married,none,2,car or other,26,none,own,2,highly skilled,1,yes,yes,1
none,36,critical account - other non-bank loans,car,11054,unknown/none,1 - 4 years,4,male-single,none,2,car or other,30,none,own,1,highly skilled,1,yes,yes,0
none,18,critical account - other non-bank loans,radio/television,629,500 - 1000 DM,>= 7 years,4,male-single,none,3,building society savings/life insurance,32,bank,own,2,highly skilled,1,yes,yes,0
none,6,current loans paid,education,1238,unknown/none,unemployed,4,male-single,none,4,building society savings/life insurance,36,none,own,1,highly skilled,2,yes,yes,0
none,48,past payment delays,radio/television,7238,unknown/none,>= 7 years,3,male-single,none,3,car or other,32,bank,own,2,skilled,2,none,yes,0
< 0 DM,24,current loans paid,car,1442,< 100 DM,4 - 7 years,4,female-divorced/separated/married,none,4,car or other,23,none,rent,2,skilled,1,none,yes,1
< 0 DM,18,critical account - other non-bank loans,radio/television,1880,< 100 DM,4 - 7 years,4,male-married/widowed,none,1,building society savings/life insurance,32,none,own,2,highly skilled,1,yes,yes,0
> 200 DM or salary assignment,24,current loans paid,furniture/equipment,2892,< 100 DM,>= 7 years,3,male-divorced/separated,none,4,unknown-none,51,none,for free,1,skilled,1,none,yes,0
< 0 DM,24,all loans at bank paid,car,1193,< 100 DM,unemployed,1,female-divorced/separated/married,co-applicant,4,unknown-none,29,none,rent,2,unemployed-unskilled-non-resident,1,none,yes,1
0 - 200 DM,48,current loans paid,furniture/equipment,9960,< 100 DM,< 1 year,1,female-divorced/separated/married,none,2,car or other,26,none,own,1,skilled,1,yes,yes,1
none,10,current loans paid,education,894,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,3,building society savings/life insurance,40,none,own,1,skilled,1,yes,yes,0
none,15,current loans paid,car,3812,100 - 500 DM,< 1 year,1,female-divorced/separated/married,none,4,car or other,23,none,own,1,skilled,1,yes,yes,0
none,36,critical account - other non-bank loans,radio/television,9566,< 100 DM,1 - 4 years,2,female-divorced/separated/married,none,2,car or other,31,stores,own,2,skilled,1,none,yes,0
none,15,current loans paid,repairs,1262,500 - 1000 DM,4 - 7 years,4,male-single,none,3,building society savings/life insurance,36,none,own,2,skilled,1,yes,yes,0
< 0 DM,24,current loans paid,car,1285,unknown/none,4 - 7 years,4,female-divorced/separated/married,none,4,unknown-none,32,none,rent,1,skilled,1,none,yes,1
0 - 200 DM,24,current loans paid,radio/television,2896,100 - 500 DM,< 1 year,2,male-single,none,1,car or other,29,none,own,1,skilled,1,none,yes,0
none,6,all loans at bank paid,car,783,unknown/none,1 - 4 years,1,male-single,guarantor,2,real estate,26,stores,own,1,unskilled-resident,2,none,yes,0
0 - 200 DM,27,critical account - other non-bank loans,radio/television,2520,500 - 1000 DM,1 - 4 years,4,male-single,none,2,building society savings/life insurance,23,none,own,2,unskilled-resident,1,none,yes,1
0 - 200 DM,7,current loans paid,radio/television,2415,< 100 DM,1 - 4 years,3,male-single,guarantor,2,real estate,34,none,own,1,skilled,1,none,yes,0
0 - 200 DM,12,current loans paid,car,2002,< 100 DM,4 - 7 years,3,male-single,none,4,building society savings/life insurance,30,none,rent,1,skilled,2,yes,yes,0
0 - 200 DM,9,all loans at bank paid,car,5129,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,4,unknown-none,74,bank,for free,1,highly skilled,2,yes,yes,1
none,48,all loans at bank paid,business,3609,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,1,real estate,27,stores,own,1,skilled,1,none,yes,0
0 - 200 DM,36,past payment delays,business,9857,100 - 500 DM,4 - 7 years,1,male-single,none,3,building society savings/life insurance,31,none,own,2,unskilled-resident,2,yes,yes,0
none,10,critical account - other non-bank loans,furniture/equipment,2146,< 100 DM,< 1 year,1,female-divorced/separated/married,none,3,real estate,23,none,rent,2,skilled,1,none,yes,0
none,24,past payment delays,car,717,unknown/none,>= 7 years,4,male-married/widowed,none,4,car or other,54,none,own,2,skilled,1,yes,yes,0
none,6,current loans paid,furniture/equipment,1543,>= 1000 DM,1 - 4 years,4,male-divorced/separated,none,2,real estate,33,none,own,1,skilled,1,none,yes,0
0 - 200 DM,36,past payment delays,car,2225,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,57,bank,for free,2,skilled,1,yes,yes,1
none,48,critical account - other non-bank loans,radio/television,3578,unknown/none,>= 7 years,4,male-single,none,1,real estate,47,none,own,1,skilled,1,yes,yes,0
none,9,current loans paid,radio/television,2753,100 - 500 DM,>= 7 years,3,male-single,co-applicant,4,car or other,35,none,own,1,skilled,1,yes,yes,0
none,27,past payment delays,business,5117,< 100 DM,4 - 7 years,3,male-single,none,4,car or other,26,none,own,2,skilled,1,none,yes,0
none,6,current loans paid,car,672,< 100 DM,unemployed,1,female-divorced/separated/married,none,4,real estate,54,none,own,1,unemployed-unskilled-non-resident,1,yes,yes,0
< 0 DM,12,all loans at bank paid,radio/television,2149,< 100 DM,1 - 4 years,4,male-divorced/separated,none,1,unknown-none,29,none,for free,1,skilled,1,none,yes,1
< 0 DM,24,current loans paid,furniture/equipment,4020,< 100 DM,1 - 4 years,2,male-single,none,2,car or other,27,stores,own,1,skilled,1,none,yes,0
< 0 DM,30,current loans paid,furniture/equipment,3622,>= 1000 DM,>= 7 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,57,none,rent,2,skilled,1,yes,yes,0
none,9,current loans paid,car,3577,100 - 500 DM,1 - 4 years,1,male-single,guarantor,2,real estate,26,none,rent,1,skilled,2,none,no,0
none,48,critical account - other non-bank loans,education,6110,< 100 DM,1 - 4 years,1,male-single,none,3,unknown-none,31,bank,for free,1,skilled,1,yes,yes,0
none,24,critical account - other non-bank loans,radio/television,2872,100 - 500 DM,>= 7 years,3,male-single,none,4,real estate,36,none,own,1,skilled,2,yes,yes,0
< 0 DM,15,critical account - other non-bank loans,furniture/equipment,1478,< 100 DM,>= 7 years,4,male-single,none,4,car or other,44,none,own,2,skilled,2,yes,yes,0
none,12,critical account - other non-bank loans,radio/television,930,unknown/none,>= 7 years,4,male-single,none,4,real estate,65,none,own,4,skilled,1,none,yes,0
0 - 200 DM,21,current loans paid,furniture/equipment,3976,unknown/none,4 - 7 years,2,male-single,none,3,car or other,35,none,own,1,skilled,1,yes,yes,0
< 0 DM,12,no credit - paid,car,1082,< 100 DM,1 - 4 years,4,male-single,none,4,car or other,48,bank,own,2,skilled,1,none,yes,1
< 0 DM,9,current loans paid,radio/television,1366,< 100 DM,< 1 year,3,female-divorced/separated/married,none,4,building society savings/life insurance,22,none,rent,1,skilled,1,none,yes,1
< 0 DM,24,all loans at bank paid,car,2325,100 - 500 DM,4 - 7 years,2,male-single,none,3,car or other,32,bank,own,1,skilled,1,none,yes,0
0 - 200 DM,18,current loans paid,car,12976,< 100 DM,unemployed,3,female-divorced/separated/married,none,4,unknown-none,38,none,for free,1,highly skilled,1,yes,yes,1
< 0 DM,13,critical account - other non-bank loans,business,1797,< 100 DM,< 1 year,3,male-single,none,1,building society savings/life insurance,28,bank,own,2,unskilled-resident,1,none,yes,0
none,24,current loans paid,car,1469,100 - 500 DM,>= 7 years,4,male-married/widowed,none,4,real estate,41,none,rent,1,unskilled-resident,1,none,yes,0
none,15,current loans paid,car,4657,< 100 DM,1 - 4 years,3,male-single,none,2,car or other,30,none,own,1,skilled,1,yes,yes,0
none,24,current loans paid,car,2670,< 100 DM,>= 7 years,4,male-single,none,4,car or other,35,none,own,1,highly skilled,1,yes,yes,0
none,9,critical account - other non-bank loans,furniture/equipment,2406,< 100 DM,unemployed,2,male-single,none,3,car or other,31,none,own,1,highly skilled,1,none,yes,0
none,60,current loans paid,car,10366,< 100 DM,>= 7 years,2,male-single,none,4,building society savings/life insurance,42,none,own,1,highly skilled,1,yes,yes,0
none,10,critical account - other non-bank loans,car,1231,< 100 DM,>= 7 years,3,male-single,none,4,real estate,32,none,own,2,unskilled-resident,2,none,no,0
none,36,current loans paid,car,3079,unknown/none,1 - 4 years,4,male-single,none,4,real estate,36,none,own,1,skilled,1,none,yes,0
none,24,critical account - other non-bank loans,furniture/equipment,3777,>= 1000 DM,1 - 4 years,4,male-single,none,4,real estate,50,none,own,1,skilled,1,yes,yes,0
0 - 200 DM,60,current loans paid,car,7408,100 - 500 DM,< 1 year,4,female-divorced/separated/married,none,2,building society savings/life insurance,24,none,own,1,highly skilled,1,none,yes,1
