checking_account_status,loan_duration_mo,credit_history,purpose,loan_amount,savings_account_balance,time_employed_yrs,payment_pcnt_income,gender_status,other_signators,time_in_residence,property,age_yrs,other_credit_outstanding,home_ownership,number_loans,job_category,dependents,telephone,foreign_worker,bad_credit
0 - 200 DM,12,current loans paid,furniture/equipment,3017,< 100 DM,< 1 year,3,female-divorced/separated/married,none,1,real estate,34,none,rent,1,highly skilled,1,none,yes,0
0 - 200 DM,24,current loans paid,car,1201,< 100 DM,< 1 year,4,male-single,none,1,building society savings/life insurance,26,none,own,1,skilled,1,none,yes,0
< 0 DM,24,current loans paid,car,3123,< 100 DM,< 1 year,4,female-divorced/separated/married,none,1,building society savings/life insurance,27,none,own,1,skilled,1,none,yes,1
> 200 DM or salary assignment,15,critical account - other non-bank loans,car,2360,500 - 1000 DM,1 - 4 years,2,male-single,none,2,car or other,36,none,own,1,skilled,1,yes,yes,0
none,39,current loans paid,car,8588,100 - 500 DM,>= 7 years,4,male-single,none,2,car or other,45,none,own,1,highly skilled,1,yes,yes,0
none,4,critical account - other non-bank loans,radio/television,1503,< 100 DM,4 - 7 years,2,male-single,none,1,real estate,42,none,own,2,unskilled-resident,2,none,yes,0
none,24,current loans paid,radio/television,3105,unknown/none,< 1 year,4,male-single,none,2,car or other,25,none,own,2,skilled,1,none,yes,0
none,24,past payment delays,car,2032,< 100 DM,>= 7 years,4,male-single,none,4,unknown-none,60,none,for free,2,skilled,1,yes,yes,0
< 0 DM,48,current loans paid,radio/television,6999,< 100 DM,4 - 7 years,1,male-married/widowed,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,1
0 - 200 DM,18,no credit - paid,car,2278,100 - 500 DM,< 1 year,3,female-divorced/separated/married,none,3,car or other,28,none,own,2,skilled,1,none,yes,1
< 0 DM,12,current loans paid,car,1372,< 100 DM,4 - 7 years,2,male-divorced/separated,none,3,car or other,36,none,own,1,skilled,1,none,yes,1
< 0 DM,15,current loans paid,business,806,< 100 DM,1 - 4 years,4,female-divorced/separated/married,none,4,building society savings/life insurance,22,none,own,1,unskilled-resident,1,none,yes,0
none,24,current loans paid,education,937,< 100 DM,< 1 year,4,male-married/widowed,none,3,car or other,27,none,own,2,unskilled-resident,1,none,yes,0
< 0 DM,18,current loans paid,furniture/equipment,2039,< 100 DM,1 - 4 years,1,female-divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,1
none,21,current loans paid,business,1572,>= 1000 DM,>= 7 years,4,female-divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled-resident,1,none,yes,0
0 - 200 DM,24,current loans paid,car,2718,< 100 DM,1 - 4 years,3,female-divorced/separated/married,none,4,building society savings/life insurance,20,none,rent,1,unskilled-resident,1,yes,yes,1
none,24,critical account - other non-bank loans,business,4526,< 100 DM,1 - 4 years,3,male-single,none,2,real estate,74,none,own,1,highly skilled,1,yes,yes,0
none,42,critical account - other non-bank loans,furniture/equipment,4042,500 - 1000 DM,1 - 4 years,4,male-single,none,4,real estate,36,none,own,2,skilled,1,yes,yes,0
none,24,current loans paid,radio/television,1376,500 - 1000 DM,4 - 7 years,4,female-divorced/separated/married,none,1,car or other,28,none,own,1,skilled,1,none,yes,0
none,24,critical account - other non-bank loans,furniture/equipment,5150,< 100 DM,>= 7 years,4,male-single,none,4,car or other,33,none,own,1,skilled,1,yes,yes,0
0 - 200 DM,15,current loans paid,repairs,2631,100 - 500 DM,1 - 4 years,3,female-divorced/separated/married,none,2,real estate,25,none,own,1,unskilled-resident,1,none,yes,0
< 0 DM,9,critical account - other non-bank loans,radio/television,1138,< 100 DM,1 - 4 years,4,male-single,none,4,real estate,25,none,own,2,unskilled-resident,1,none,yes,0
none,30,critical account - other non-bank loans,radio/television,3077,unknown/none,>= 7 years,3,male-single,none,2,car or other,40,none,own,2,skilled,2,yes,yes,0
none,24,current loans paid,car,2603,>= 1000 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,28,none,rent,1,skilled,1,yes,yes,0
none,6,critical account - other non-bank loans,car,6761,< 100 DM,4 - 7 years,1,male-single,none,3,unknown-none,45,none,own,2,highly skilled,2,yes,yes,0
none,24,critical account - other non-bank loans,car,2463,100 - 500 DM,4 - 7 years,4,male-married/widowed,none,3,building society savings/life insurance,27,none,own,2,skilled,1,yes,yes,0
0 - 200 DM,39,critical account - other non-bank loans,radio/television,4933,< 100 DM,4 - 7 years,2,male-single,guarantor,2,real estate,25,none,own,2,skilled,1,none,yes,1
0 - 200 DM,12,no credit - paid,education,1410,< 100 DM,1 - 4 years,2,male-single,none,2,real estate,31,none,own,1,unskilled-resident,1,yes,yes,0
0 - 200 DM,21,current loans paid,business,1188,< 100 DM,>= 7 years,2,female-divorced/separated/married,none,4,building society savings/life insurance,39,none,own,1,skilled,2,none,yes,1
none,6,critical account - other non-bank loans,radio/television,1554,< 100 DM,4 - 7 years,1,female-divorced/separated/married,none,2,car or other,24,none,rent,2,skilled,1,yes,yes,0
< 0 DM,8,critical account - other non-bank loans,car,731,< 100 DM,>= 7 years,4,male-single,none,4,real estate,47,none,own,2,unskilled-resident,1,none,yes,0
none,18,critical account - other non-bank loans,furniture/equipment,3780,< 100 DM,< 1 year,3,male-divorced/separated,none,2,car or other,35,none,own,2,highly skilled,1,yes,yes,0
< 0 DM,18,critical account - other non-bank loans,car,3966,< 100 DM,>= 7 years,1,female-divorced/separated/married,none,4,real estate,33,bank,rent,3,skilled,1,yes,yes,1
none,4,current loans paid,furniture/equipment,601,< 100 DM,< 1 year,1,female-divorced/separated/married,none,3,real estate,23,none,rent,1,unskilled-resident,2,none,yes,0
none,24,all loans at bank paid,business,1559,< 100 DM,4 - 7 years,4,male-single,none,4,car or other,50,bank,own,1,skilled,1,yes,yes,0
none,18,current loans paid,car,6761,unknown/none,1 - 4 years,2,male-single,none,4,car or other,68,none,rent,2,skilled,1,none,yes,1
none,24,critical account - other non-bank loans,car,5804,>= 1000 DM,1 - 4 years,4,male-single,none,2,real estate,27,none,own,2,skilled,1,none,yes,0
< 0 DM,24,current loans paid,radio/television,2439,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,real estate,35,none,own,1,skilled,1,yes,yes,1
none,15,current loans paid,furniture/equipment,2221,500 - 1000 DM,1 - 4 years,2,female-divorced/separated/married,none,4,car or other,20,none,rent,1,skilled,1,none,yes,0
none,15,current loans paid,repairs,874,unknown/none,< 1 year,4,female-divorced/separated/married,none,1,real estate,24,none,own,1,skilled,1,none,yes,0
< 0 DM,12,current loans paid,education,795,< 100 DM,< 1 year,4,female-divorced/separated/married,none,4,building society savings/life insurance,53,none,own,1,skilled,1,none,yes,1
< 0 DM,18,current loans paid,furniture/equipment,4153,< 100 DM,1 - 4 years,2,male-single,co-applicant,3,car or other,42,none,own,1,skilled,1,none,yes,1
none,24,current loans paid,furniture/equipment,929,unknown/none,4 - 7 years,4,male-single,none,2,car or other,31,stores,own,1,skilled,1,yes,yes,0
0 - 200 DM,48,no credit - paid,car,8358,500 - 1000 DM,< 1 year,1,female-divorced/separated/married,none,1,car or other,30,none,own,2,skilled,1,none,yes,0
< 0 DM,36,past payment delays,business,2145,< 100 DM,4 - 7 years,2,male-single,none,1,car or other,24,none,own,2,skilled,1,yes,yes,1
0 - 200 DM,9,critical account - other non-bank loans,radio/television,1154,< 100 DM,>= 7 years,2,male-single,none,4,real estate,37,none,own,3,unskilled-resident,1,none,yes,0
< 0 DM,24,current loans paid,car,6579,< 100 DM,unemployed,4,male-single,none,2,unknown-none,29,none,for free,1,highly skilled,1,yes,yes,0
none,12,critical account - other non-bank loans,education,3565,unknown/none,< 1 year,2,male-single,none,1,building society savings/life insurance,37,none,own,2,unskilled-resident,2,none,yes,0
< 0 DM,30,current loans paid,car,3857,< 100 DM,1 - 4 years,4,male-divorced/separated,none,4,building society savings/life insurance,40,none,own,1,highly skilled,1,yes,yes,0
< 0 DM,45,current loans paid,radio/television,1845,< 100 DM,1 - 4 years,4,male-single,none,4,unknown-none,23,none,for free,1,skilled,1,yes,yes,1
